token_type,token_address,receiver,amount
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x2A8fe25896fCcE82C49c2Db923aBFA4198Ad3394,193.193547140
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xA82BcD1BA56b4BB0f46Bc29dA53413c73Be27509,181.121655728
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xB53b0255895c4F9E3a185E484e5B674bCCfbc076,150.224910562
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x8e4Bdd156e4dD802dd919F4FD2645681CE99a538,148.899260636
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x2Bf034ecCEbc8CD60Dab9c249b6c2996Dcb7D8EC,147.319022797
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xf6f32d231b517D32b98Ce03464C2A7c272BdB272,143.796763370
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x78Ec73423B222cB225549bab0d0a812d58808Ffd,142.549088077
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x091fCbB9186f392610740038Ea5b8007fE7674e4,139.015770668
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x841C11b14c428dd591093348B8Afa2652C863988,112.794111392
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x615b044B6Ccb048532bcF99AAdf619d7fdD2Aa01,106.261210607
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x7B035331967075a168471DfBD23eD977f048f61E,98.898240217
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x5ddbDA5Dd1074A22a26432630B1516d27A1E5148,98.884530074
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xeAb44dd5e7E1C9dbbe3Eb6Ebc121C3CDD0CC3579,88.191728986
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xfaCEf700458D4Fc9746F7f3e0d37B462711fF09e,85.779499091
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x7326B0D5Ba05bB1db17298A0283aB1D3269adEB2,74.847839496
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x73bEA65145F19702DA07d8908E994A193b5855A1,74.795127949
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xe5eDa1eabfC23075D010927bd0111E8E36C33Def,73.560874617
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x4c81E51aa103490838Fd9Db1D859a5Fcd8276324,66.476640831
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xE73a198e7C07c418D7dcFd42f5E953074aBbD125,61.121383032
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x4B7C0Da1C299Ce824f55A0190Efb13663442FA2c,60.817634550
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x2a87C1345024ab463ACC26417124C433b3069fdD,53.649444343
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x4cBf20D7393f372D7947338336b5043081871116,51.368746670
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x89bf9BAaeE2d451477CF850fE4c0d89bb796B1aD,44.276102778
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x32aF096d6d479e3d022caAF3603A7306706D10A8,41.835538829
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x29185eB8cfD22Aa719529217bFbadE61677e0Ad2,30.263613567
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xcF0eBaA2bC9Ba3bb8c655fABB26976528d64FCB7,20.985811651
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x4accdfd779E8FA60A3686030A6Eb36D663399E13,14.311675737
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xe3fD0c0704A7002056eA10332825CB72094495A8,12.864198937
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x986e92868A27548a31e88f7692E746CD7E86f39a,12.086364839
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x47a9A2FE26f9eC391cfc6B44F0a104c75f6bBC71,10.796696366
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x0751B77E8AcAEffAD53667c72AA7CE66688d8c61,10.459977946
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xe0802Cf223a05A14408Ad44E7F878d21408Fb04C,10.275086727
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x1e9c89aFf77215F3AD26bFfe0C50d4FdEBa6a352,9.631204123
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xC97910dB17BcCd90C3Ca38d2E0aD8DAc58d6B554,8.614295036
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x8fc2EB50F3BD6d194Ae800b1668e129144D34E5a,5.712340402
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xDF290293C4A4d6eBe38Fd7085d7721041f927E0a,4.098834286
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xa69656dee6721FF43506477Fb522eFef151E4477,3.915973458
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xa76fA3B5dfD0bE1e6BdcaeC9167a7Ab4c7536881,3.644972672
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xDA5b2cd0d0Bb26E79FB3210233dDABdB7de131C9,3.372531794
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x492C52A72104d3fFAb2885f257b4D2ebD97338eE,3.341235643
