token_type,token_address,receiver,amount
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xB53b0255895c4F9E3a185E484e5B674bCCfbc076,392.027048302
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x78Ec73423B222cB225549bab0d0a812d58808Ffd,321.775644957
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x1e9c89aFf77215F3AD26bFfe0C50d4FdEBa6a352,239.361721284
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x4c81E51aa103490838Fd9Db1D859a5Fcd8276324,194.390446289
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xEb4E3e9fA819E69e5Df4ea35b9C7973062C96de9,189.186803478
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x29185eB8cfD22Aa719529217bFbadE61677e0Ad2,143.159932930
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x73bEA65145F19702DA07d8908E994A193b5855A1,109.259513690
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x89bf9BAaeE2d451477CF850fE4c0d89bb796B1aD,88.158225891
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x841C11b14c428dd591093348B8Afa2652C863988,59.125953721
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x3F20a6fE04b3A4b37bBBBea826ae23be56Baed74,56.924753336
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x32aF096d6d479e3d022caAF3603A7306706D10A8,51.373374677
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x7326B0D5Ba05bB1db17298A0283aB1D3269adEB2,49.425317203
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x7b86F576669f8d20a8244dABEFc65b31d7dEB3f2,41.897079537
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xA82BcD1BA56b4BB0f46Bc29dA53413c73Be27509,33.584201322
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x4cBf20D7393f372D7947338336b5043081871116,32.019988090
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x2A8fe25896fCcE82C49c2Db923aBFA4198Ad3394,25.045286469
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x986e92868A27548a31e88f7692E746CD7E86f39a,19.152852925
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xE372cf77187E27B15805803Cf331f6b7330F223b,18.636791962
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x2753c791bCA3667f10800262FCB0168269e12DC5,18.249850839
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x2Bf034ecCEbc8CD60Dab9c249b6c2996Dcb7D8EC,16.556964379
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xC97910dB17BcCd90C3Ca38d2E0aD8DAc58d6B554,16.027086655
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x28EDE9352a5f76Daec81cfC65d7246f6665f5fA3,15.255165863
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xfaCEf700458D4Fc9746F7f3e0d37B462711fF09e,13.969382937
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x4accdfd779E8FA60A3686030A6Eb36D663399E13,12.069298663
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x2410D50Ba4993c1FE13B3DB0BcDaE51B1c617d0a,11.760162125
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xf3B1B6e83Be4d55695f1D30ac3D307D9D5CA98ff,10.238800994
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x091fCbB9186f392610740038Ea5b8007fE7674e4,10.020931795
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x7B035331967075a168471DfBD23eD977f048f61E,8.015748876
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xa76fA3B5dfD0bE1e6BdcaeC9167a7Ab4c7536881,5.909487243
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x47a9A2FE26f9eC391cfc6B44F0a104c75f6bBC71,5.192082330
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xfE28dd6bE3aE65fa7c581dFEFb2b52bF761cfDc2,4.416266986
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xE73a198e7C07c418D7dcFd42f5E953074aBbD125,2.405360196
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x8e4Bdd156e4dD802dd919F4FD2645681CE99a538,2.368164238
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x8760E565273B47195F76A22455Ce0B68A11aF5B5,2.136634616
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x9eEC0B5Bd8A48047f0Dcc61E98B4b92951480F98,2.022157138
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x492C52A72104d3fFAb2885f257b4D2ebD97338eE,1.312542277
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xf6f32d231b517D32b98Ce03464C2A7c272BdB272,1.230295277
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x4B7C0Da1C299Ce824f55A0190Efb13663442FA2c,1.141137180
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x5ddbDA5Dd1074A22a26432630B1516d27A1E5148,1.038494122
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x0751B77E8AcAEffAD53667c72AA7CE66688d8c61,0.780074050
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xe0802Cf223a05A14408Ad44E7F878d21408Fb04C,0.617689752
