geleeroyale,0x701d0ECB3BA780De7b2b36789aEC4493A426010a,0.000485308
METADREAMER,0x8F942ECED007bD3976927B7958B50Df126FEeCb5,0.000000816
nicolas-law,0x2bEBa030cdC9c4a47c5aa657974840428b9fEfAc,0.022199683
peth-yursick,0xB53b0255895c4F9E3a185E484e5B674bCCfbc076,37.495347888
mz,0xDF290293C4A4d6eBe38Fd7085d7721041f927E0a,0.000000004
pacobacpac,0x4194cE73AC3FBBeCE8fFa878c2B5A8C90333E724,0.049474876
saimano,0xE68967c95f5A9BCcfDd711A2Cbc23Ec958F147Ef,0.000000001
penguin,0xfaCEf700458D4Fc9746F7f3e0d37B462711fF09e,0.212801471
defidude,0xf3B1B6e83Be4d55695f1D30ac3D307D9D5CA98ff,0.026783296
shep,0xD595634abf15938Db7C1CA7E8923651434379fAf,0.05705404
kris,0xeC952ED8e7c2AA466cac36fD611D2E87Df1243D7,0.009635092
markop,0x6D97d65aDfF6771b31671443a6b9512104312d3D,0.273982171
youngkidwarrior,0xa69656dee6721FF43506477Fb522eFef151E4477,0.127459407
sben,0x4B7C0Da1C299Ce824f55A0190Efb13663442FA2c,0.004292355
Vanilladelphia,0xDA5b2cd0d0Bb26E79FB3210233dDABdB7de131C9,0.270660786
dysbulic,0xEb4E3e9fA819E69e5Df4ea35b9C7973062C96de9,75.366463867
luxumbra,0x78Ec73423B222cB225549bab0d0a812d58808Ffd,4.746937379
charingane,0x1426FBd146942e153653863cbe633780c17268DA,7.775024098
dunks411,0x069e85D4F1010DD961897dC8C095FBB5FF297434,0.000014039
Santiago,0x224aBa5D489675a7bD3CE07786FAda466b46FA0F,0.200175841
dan13ram,0x1e9c89aFf77215F3AD26bFfe0C50d4FdEBa6a352,6.652088324
brucethegoose-eth,0x3a3355805181ba5752cB52CEBE8C95c0F3ED3d61,0.000060304
Mars-BaseX,0x85A363699C6864248a6FfCA66e4a1A5cCf9f5567,0.4210467
defileZebra,0xA68E0b444E7F5242e48Cea2447FcE03Cb7B8AD16,0.030847882
Kyle-Stargarden,0x8760E565273B47195F76A22455Ce0B68A11aF5B5,0.155769136
MLIBTY,0x9eEC0B5Bd8A48047f0Dcc61E98B4b92951480F98,0.080033229
magenta,0x152ad2E12E102aBF64280C5e3d70257EFfb0EDe0,0.157375861
Misanth,0x8e4Bdd156e4dD802dd919F4FD2645681CE99a538,3.933992429
Alec,0x4c81E51aa103490838Fd9Db1D859a5Fcd8276324,38.041343442
Gnomeski,0xa76fA3B5dfD0bE1e6BdcaeC9167a7Ab4c7536881,0.001535528
Apeiron,0x986e92868A27548a31e88f7692E746CD7E86f39a,4.051535139
wonfiddy,0x2a87C1345024ab463ACC26417124C433b3069fdD,3.622710945
b0gie,0x91D4eBb05d3273bdB74Af69c20B826F9E76Ae542,105.299972154
prettyscone-shans,0xe5eDa1eabfC23075D010927bd0111E8E36C33Def,0.443606195
eowulia,0xA82BcD1BA56b4BB0f46Bc29dA53413c73Be27509,26.73331099
chair,0xe0802Cf223a05A14408Ad44E7F878d21408Fb04C,5.276215093
0xJoshua,0x1dF428833f2C9FB1eF098754e5D710432450d706,0.0014845
WhyldWanderer,0xed8DB37778804A913670d9367aAf4F043AAd938b,0.05866868
Davor,0xC97910dB17BcCd90C3Ca38d2E0aD8DAc58d6B554,1.622224301
tomi,0x2A8fe25896fCcE82C49c2Db923aBFA4198Ad3394,15.718717735
koH,0x140D3f60AC840571a3e08e218B823094d4715564,41.377601439
Bagholder-McFomo-III,0x0751B77E8AcAEffAD53667c72AA7CE66688d8c61,0.000000285
karmaticacid---,0xC46c67Bb7E84490D7EbdD0b8ecDaca68Cf3823F4,0.00008845
Manu,0xb90139b5f5c73321943Fb19cDab8563886fAEed2,0.000839818
Musashi13,0x2Bf034ecCEbc8CD60Dab9c249b6c2996Dcb7D8EC,55.23829609
Michiel,0xcF0eBaA2bC9Ba3bb8c655fABB26976528d64FCB7,0.000000008
joseacabrerav,0x29185eB8cfD22Aa719529217bFbadE61677e0Ad2,77.471703904
googoomuck,0x0bB44DA1A16B44956b2523b23667989C23c0195A,0.19138141
FearlessThompson--,0xeAb44dd5e7E1C9dbbe3Eb6Ebc121C3CDD0CC3579,6.48817957
Bacon,0x47a9A2FE26f9eC391cfc6B44F0a104c75f6bBC71,0.013427942
sackofjoy,0x91Ed68562cEE69155381d4864e2B921E56aB388a,0.000004844
tenfinney-discord,0x7B035331967075a168471DfBD23eD977f048f61E,1.04021793
DoinGudFund,0x32aF096d6d479e3d022caAF3603A7306706D10A8,17.697551937
HBesso31,0xE73a198e7C07c418D7dcFd42f5E953074aBbD125,5.696398539
Piedra-de-mar,0x73bEA65145F19702DA07d8908E994A193b5855A1,97.094225805
Rankko-eth,0x139f73C185953B2443d2D57f0522569736E8d81A,0.090171664
-Udit,0x759bacE429553bCA40645Da3283de1A105531b11,0.003384221
AnnaKaic,0x841C11b14c428dd591093348B8Afa2652C863988,0.364248652
Disciple-TYMED,0x4accdfd779E8FA60A3686030A6Eb36D663399E13,9.477104756
Beyondr,0x28EDE9352a5f76Daec81cfC65d7246f6665f5fA3,2.074895896
