token_type,token_address,receiver,amount
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x1e9c89aFf77215F3AD26bFfe0C50d4FdEBa6a352,6.65208832
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xeAb44dd5e7E1C9dbbe3Eb6Ebc121C3CDD0CC3579,6.48817957
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xE73a198e7C07c418D7dcFd42f5E953074aBbD125,5.69639854
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xe0802Cf223a05A14408Ad44E7F878d21408Fb04C,5.27621509
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xE372cf77187E27B15805803Cf331f6b7330F223b,5.13436857
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x78Ec73423B222cB225549bab0d0a812d58808Ffd,4.74693738
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x986e92868A27548a31e88f7692E746CD7E86f39a,4.05153514
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x8e4Bdd156e4dD802dd919F4FD2645681CE99a538,3.93399243
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x2a87C1345024ab463ACC26417124C433b3069fdD,3.62271095
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x7b86F576669f8d20a8244dABEFc65b31d7dEB3f2,2.46634511
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x3F20a6fE04b3A4b37bBBBea826ae23be56Baed74,2.44971559
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x28EDE9352a5f76Daec81cfC65d7246f6665f5fA3,2.07489590
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xC97910dB17BcCd90C3Ca38d2E0aD8DAc58d6B554,1.62222430
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x7B035331967075a168471DfBD23eD977f048f61E,1.04021793
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x492C52A72104d3fFAb2885f257b4D2ebD97338eE,0.75639928
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xfE28dd6bE3aE65fa7c581dFEFb2b52bF761cfDc2,0.45690387
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xe5eDa1eabfC23075D010927bd0111E8E36C33Def,0.44360620
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x85A363699C6864248a6FfCA66e4a1A5cCf9f5567,0.42104670
