token_type,token_address,receiver,amount
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x4c81e51aa103490838fd9db1d859a5fcd8276324,40.530
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x91d4ebb05d3273bdb74af69c20b826f9e76ae542,38.224
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xed2aeaeac44036a35e36ccd7397d44ea70bdd73e,5.574
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xfad763da9051953fea58c2304395719a3b6ba361,10.673
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xeb4e3e9fa819e69e5df4ea35b9c7973062c96de9,63.885
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xa82bcd1ba56b4bb0f46bc29da53413c73be27509,47.382
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x7326b0d5ba05bb1db17298a0283ab1d3269adeb2,33.844
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x29185eb8cfd22aa719529217bfbade61677e0ad2,57.061
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x2bf034eccebc8cd60dab9c249b6c2996dcb7d8ec,63.318
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xb53b0255895c4f9e3a185e484e5b674bccfbc076,188.871
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x28cd26d85b4ac655a489aa3f259f81283bd1a804,65.248
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x73bea65145f19702da07d8908e994a193b5855a1,85.980
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x78ec73423b222cb225549bab0d0a812d58808ffd,0.772
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x4cbf20d7393f372d7947338336b5043081871116,11.580
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xc0163e58648b247c143023cfb26c2baa42c9d9a9,28.950
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x89bf9baaee2d451477cf850fe4c0d89bb796b1ad,30.108
