token_type,token_address,receiver,amount
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xB53b0255895c4F9E3a185E484e5B674bCCfbc076,130.404503508
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x78Ec73423B222cB225549bab0d0a812d58808Ffd,103.731227148
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x615b044B6Ccb048532bcF99AAdf619d7fdD2Aa01,69.652851801
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x4cBf20D7393f372D7947338336b5043081871116,59.040395371
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x4c81E51aa103490838Fd9Db1D859a5Fcd8276324,45.990083841
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x7326B0D5Ba05bB1db17298A0283aB1D3269adEB2,43.159595100
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x7B035331967075a168471DfBD23eD977f048f61E,41.873704102
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x89bf9BAaeE2d451477CF850fE4c0d89bb796B1aD,29.811150909
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xA82BcD1BA56b4BB0f46Bc29dA53413c73Be27509,29.380487722
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x8e4Bdd156e4dD802dd919F4FD2645681CE99a538,29.144724389
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x4accdfd779E8FA60A3686030A6Eb36D663399E13,27.595511943
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x32aF096d6d479e3d022caAF3603A7306706D10A8,24.879383462
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x1e9c89aFf77215F3AD26bFfe0C50d4FdEBa6a352,24.859492240
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x2A8fe25896fCcE82C49c2Db923aBFA4198Ad3394,15.662316713
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xE73a198e7C07c418D7dcFd42f5E953074aBbD125,14.711120229
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x73bEA65145F19702DA07d8908E994A193b5855A1,14.563457615
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x841C11b14c428dd591093348B8Afa2652C863988,14.364194545
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xf6f32d231b517D32b98Ce03464C2A7c272BdB272,13.760805262
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xC97910dB17BcCd90C3Ca38d2E0aD8DAc58d6B554,8.703228174
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x29185eB8cfD22Aa719529217bFbadE61677e0Ad2,7.442805017
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x5ddbDA5Dd1074A22a26432630B1516d27A1E5148,7.039233813
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x4B7C0Da1C299Ce824f55A0190Efb13663442FA2c,5.245958000
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x2Bf034ecCEbc8CD60Dab9c249b6c2996Dcb7D8EC,4.020922140
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x091fCbB9186f392610740038Ea5b8007fE7674e4,3.955052764
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x0751B77E8AcAEffAD53667c72AA7CE66688d8c61,3.511180085
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xfaCEf700458D4Fc9746F7f3e0d37B462711fF09e,3.363738708
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xe0802Cf223a05A14408Ad44E7F878d21408Fb04C,2.578053987
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x986e92868A27548a31e88f7692E746CD7E86f39a,2.469877254
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x8F942ECED007bD3976927B7958B50Df126FEeCb5,2.424301385
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x6D97d65aDfF6771b31671443a6b9512104312d3D,2.209097203
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xe5eDa1eabfC23075D010927bd0111E8E36C33Def,1.874299072
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x2753c791bCA3667f10800262FCB0168269e12DC5,1.844187561
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x47a9A2FE26f9eC391cfc6B44F0a104c75f6bBC71,1.783262001
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xeAb44dd5e7E1C9dbbe3Eb6Ebc121C3CDD0CC3579,1.740952332
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x2a87C1345024ab463ACC26417124C433b3069fdD,1.578717252
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xa76fA3B5dfD0bE1e6BdcaeC9167a7Ab4c7536881,1.073185738
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xfE28dd6bE3aE65fa7c581dFEFb2b52bF761cfDc2,0.792529818
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x1426FBd146942e153653863cbe633780c17268DA,0.631890720
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xDA5b2cd0d0Bb26E79FB3210233dDABdB7de131C9,0.470210515
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x492C52A72104d3fFAb2885f257b4D2ebD97338eE,0.401279030
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xe3fD0c0704A7002056eA10332825CB72094495A8,0.400475450
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xE68967c95f5A9BCcfDd711A2Cbc23Ec958F147Ef,0.333761682
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x152ad2E12E102aBF64280C5e3d70257EFfb0EDe0,0.293045814
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xa69656dee6721FF43506477Fb522eFef151E4477,0.246697901
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xDF290293C4A4d6eBe38Fd7085d7721041f927E0a,0.227167547
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xcF0eBaA2bC9Ba3bb8c655fABB26976528d64FCB7,0.224788693
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x21c9aba2392dD5e15CE74BF9C8685aC4907B5Fab,0.185227762
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x8fc2EB50F3BD6d194Ae800b1668e129144D34E5a,0.070435784
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x187089B33E5812310Ed32A57F53B3fAD0383a19D,0.055720376
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x2bEBa030cdC9c4a47c5aa657974840428b9fEfAc,0.044290282
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x759bacE429553bCA40645Da3283de1A105531b11,0.037325237
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x103Af378AF65C31350687735BE74adB0db186AfC,0.037208699
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x85A363699C6864248a6FfCA66e4a1A5cCf9f5567,0.031506346
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x46FeEa63b49F19a524a026eFA6beF9d050Efb6f0,0.024926859
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x91D999f5DC7273df1449e0D02fD70432E7cE9b24,0.020955996
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x8760E565273B47195F76A22455Ce0B68A11aF5B5,0.012570215
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x09cc4B3a27E3715596c5eDE07E95Da490340D27a,0.005911991
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x9eEC0B5Bd8A48047f0Dcc61E98B4b92951480F98,0.004646386
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x68d36DcBDD7Bbf206e27134F28103abE7cf972df,0.003303735
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x59B917a9e10ECe44faE8b651F8C351ef2647dccA,0.000610136
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x01024669997BAa689532555Be139d8D1685f9EAC,0.000243481
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x4059457092Cc3812d56676DF6A75fD21204Fbe2F,0.000050425
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xC316319950bf01E18748Ed807c05cBe64d48DA6b,0.000043365
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xAa01DeC5307CF17F20881A3286dcaA062578cea7,0.000038687
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x701d0ECB3BA780De7b2b36789aEC4493A426010a,0.000024017
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x79b92357bB57a449394A877bA673BdC00194E274,0.000019493
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xC46c67Bb7E84490D7EbdD0b8ecDaca68Cf3823F4,0.000015012
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xA68E0b444E7F5242e48Cea2447FcE03Cb7B8AD16,0.000009418
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x98753E5f9Cd76B46cbD95Bf16D166FAeE1a7720B,0.000004170
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x317ee88F1b78182c4514371bcBf1488b176FCC5A,0.000003005
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xfF6d6a7718A234A84f740480Dbb07f6c09cF1cD5,0.000001380
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xb90139b5f5c73321943Fb19cDab8563886fAEed2,0.000000700
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x069e85D4F1010DD961897dC8C095FBB5FF297434,0.000000620
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x86aecfc1E3973108Ce14b9b741a99d3466127170,0.000000311
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xbf4645ecc51cF940A0199337B47e3DD405438a5B,0.000000203
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x139f73C185953B2443d2D57f0522569736E8d81A,0.000000106
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x3F0F99eC5A55a51C55e2DFb732332437213B5650,0.000000103
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x4c4d724ae26C40e042875F142938153E68656d21,0.000000051
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x0B5f5a722Ac5E8EcEDf4da39A656fe5f1e76b34C,0.000000027
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xdD505DA2e2A8017f38a715948c6b6A2922ba27f0,0.000000025
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xed8DB37778804A913670d9367aAf4F043AAd938b,0.000000011
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x224aBa5D489675a7bD3CE07786FAda466b46FA0F,0.000000006
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x79bE4e987D616855F0894611d92f2632B4A9EA38,0.000000006
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x9315D886eA870f47E1619743Df8c6e46b3704A42,0.000000005
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x436Bb9e1f02C9cA7164afb5753C03c071430216d,0.000000004
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x1dF428833f2C9FB1eF098754e5D710432450d706,0.000000004
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x09d07AeC655032f6d05482999b6b7f683E80568B,0.000000003
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x9fE5829435eB70d4a3C51f8Df130f6AAD3475Efa,0.000000002
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x66b1De0f14a0ce971F7f248415063D44CAF19398,0.000000001
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x4c1546B2D87eCE5Be3429df8d5F7987CE3C2fD45,0.000000001
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xC9a238405ef9D753D55EC1EB8F7A7b17B8d83E63,0.000000001
,,Total,800.000000003
